isi_input_model,sampiran_generated,no,id_data_asli,jenis_pantun,pantun_asli_lengkap,sampiran_asli,model,setting,setting_label,gen_line_count,isi_line_count,r_score,a_score,clr,suku_baris_1,suku_baris_2,suku_baris_3,suku_baris_4,dev_total,semantic_bridge_score_llm_1_5,s_judge_norm,xrasa_final
"Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Pohon rindang di tengah taman,
Indah mekar indah warnanya.",54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,9,9,11,0,4,0.750000,0.875000
"adik menangis sambil tertawa
melihat kambing pakai sepatu","Sungguh manis si buah jawa,
Beli kain berwarna satu.",90,55,Pantun jenaka,"ada pohon di tepi rawa
daunnya kering dimakan kutu
adik menangis sambil tertawa
melihat kambing pakai sepatu","ada pohon di tepi rawa
daunnya kering dimakan kutu",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,9,10,10,0,4,0.750000,0.875000
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa","Merah membara buah selasih
Bunga melati harum baunya",14,2129,Pantun agama,"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa","Embun pagi berkilau jernih
Menyentuh pucuk padi di huma",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,10,10,0,2,0.250000,0.625000
"Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Indah mekar bunga melati,
Memetik kelapa di pohon kelapa.",56,6440,Pantun bakti keluarga,"Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa
Hidup di dunia buatlah bakti
Kepada ibu dan juga bapa","Terbang tinggi burung merpati
Hinggap sebentar di pohon kelapa",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,12,11,10,0,3,0.500000,0.750000
"Harta dunia jangan bermegah
Budi dan amal penentu mutu","Pohon rimbun di tepi sanggah,
Mengasah pisau di atas batu.",63,1505,Pantun kehidupan dan renungan,"Burung camar terbang rendah
Menyambar ikan di laut biru
Harta dunia jangan bermegah
Budi dan amal penentu mutu","Burung camar terbang rendah
Menyambar ikan di laut biru",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,10,10,0,5,1.000000,1.000000
"hidup mati untuk negara
ikhlas hati kalau mati","Berlayar kapal ke muara,
Menanam bunga rumpun melati.",71,5770,Pantun kebangsaan,"rambut hitam anggun rupanya
sehalus bulu burung merpati
hidup mati untuk negara
ikhlas hati kalau mati","rambut hitam anggun rupanya
sehalus bulu burung merpati",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,9,8,0,4,0.750000,0.875000
"hormat guru tanda mulia
ilmu mengalir penuh berkah yakin","Terbang tinggi burung di udara
Mencari makan hingga ke kelin",21,5560,Pantun pendidikan,"pohon kelapa di tepi telaga
daunnya melambai tertiup angin
hormat guru tanda mulia
ilmu mengalir penuh berkah yakin","pohon kelapa di tepi telaga
daunnya melambai tertiup angin",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,9,11,0,2,0.250000,0.625000
"sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","Mandi di sungai airnya keruh,
Berlayar jauh ke laut besar.",59,5859,Pantun bakti keluarga,"sampan kecil kita berlabuh
memuat kelapa bawa ke pasar
sejak kecil kita diasuh
jasa ibu bapak sangatlah besar","sampan kecil kita berlabuh
memuat kelapa bawa ke pasar",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.125,9,10,9,11,0,1,0.000000,0.500000
"Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Berlayar jauh ke pulau Jawa,
Burung elang terbang melayang.",62,2305,Pantun bakti keluarga,"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang
Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,9,11,12,0,4,0.750000,0.875000
"Jika hidup mahu bersatu
Jaga rukun sesama bangsa","Kayu jati diikat satu,
Hendak dijual ke Kota Rusa.",80,2181,Pantun sosial dan kerukunan,"Gendang dipalu bertalu-talu
Tari zapin di balai desa
Jika hidup mahu bersatu
Jaga rukun sesama bangsa","Gendang dipalu bertalu-talu
Tari zapin di balai desa",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,9,9,0,5,1.000000,1.000000
"Jika hati selalu ramah
Banyak sahabat datang menyapa","Indah mengembang bunga di rumah,
Memetik buah di pohon kelapa.",52,1714,Pantun persahabatan,"Burung pipit terbang rendah
Hinggap sebentar di pohon cemara
Jika hati selalu ramah
Banyak sahabat datang menyapa","Burung pipit terbang rendah
Hinggap sebentar di pohon cemara",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,11,9,10,0,4,0.750000,0.875000
"Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu","Tanam padi berdaun kemas
Bawa beras ke dalam perahu",24,5202,Pantun pendidikan,"Pergi ke pasar membeli talas
Tak lupa membeli buah duku
Ilmu diamalkan jadi ikhlas
Agar hidup penuh makna selalu","Pergi ke pasar membeli talas
Tak lupa membeli buah duku",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,10,11,0,4,0.750000,0.875000
"cobalah terka pantunku ini
akar di atas pucuk di bawah","Pergi ke sawah membawa benih,
Burung terbang di atas sawah.",91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah",Gemini,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.142857,10,9,10,10,0,1,0.000000,0.000000
"rindu ini tak pernah usai
seperti laut mencinta Samudra","Pagi hari memetik serai
Bawa ke pasar di tepi muara",49,4346,Pantun cinta dan kasih,"ombak lembut mencium pantai
pasir putih terlukis senja
rindu ini tak pernah usai
seperti laut mencinta Samudra","ombak lembut mencium pantai
pasir putih terlukis senja",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,11,9,11,0,4,0.750000,0.875000
"Jika ingin hidup penuh kebaikan
Ringankan tangan membantu sesama","Terbang rendah burung di dahan,
Hinggap sebentar di pohon kurma.",77,1606,Pantun sosial dan kerukunan,"Burung kenari terbang ke taman
Hinggap sejenak di dahan cemara
Jika ingin hidup penuh kebaikan
Ringankan tangan membantu sesama","Burung kenari terbang ke taman
Hinggap sejenak di dahan cemara",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,9,10,11,11,0,4,0.750000,0.875000
"Jika ingin hidup penuh budi
Hormati sesama tanpa membalas","Indah mekarnya bunga keladi,
Kain ditenun berbidang luas.",78,4854,Pantun sosial dan kerukunan,"Pergi ke desa membawa padi
Padi ditumbuk jadi beras
Jika ingin hidup penuh budi
Hormati sesama tanpa membalas","Pergi ke desa membawa padi
Padi ditumbuk jadi beras",Gemini,zero_shot,Hasil Zero-shot,2,2,1,1.0,0.0,10,10,10,11,0,5,1.000000,1.000000
"Jika hidup ingin tenang
Jangan suka mencari salah","Kebun bunga tempat bunga bermekar
Berwarna-warni dan harum baunya",8,120,Pantun nasihat dan budi pekerti,"Air hujan turun ke ladang
Menyuburkan padi di sawah
Jika hidup ingin tenang
Jangan suka mencari salah","Air hujan turun ke ladang
Menyuburkan padi di sawah",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,11,10,8,9,0,2,0.250000,0.125000
"Jika hati penuh setia
Persahabatan kekal terjalin","Setiap langkah jalan penuh
Kasih sayang tanpa berbelit",53,1337,Pantun persahabatan,"Bunga kenanga disemat dara
Harumnya lembut dibawa angin
Jika hati penuh setia
Persahabatan kekal terjalin","Bunga kenanga disemat dara
Harumnya lembut dibawa angin",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.142857,9,9,9,10,0,1,0.000000,0.000000
"baru seminggu kita berpisah
rindu di hati telah membara","Niat baik hati teman yang kuat
Rindu di dalam masih membara",81,950,Pantun perpisahan dan perantauan,"berburu belut ke tepi sawah
segera pulang hari pun senja
baru seminggu kita berpisah
rindu di hati telah membara","berburu belut ke tepi sawah
segera pulang hari pun senja",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.428571,11,10,10,10,0,1,0.000000,0.000000
"rindu ini tak pernah usai
seperti laut mencinta Samudra","Rindu ini tak pernah usai
Seperti laut mencinta Samudra",49,4346,Pantun cinta dan kasih,"ombak lembut mencium pantai
pasir putih terlukis senja
rindu ini tak pernah usai
seperti laut mencinta Samudra","ombak lembut mencium pantai
pasir putih terlukis senja",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,1,1.0,1.0,9,11,9,11,0,1,0.000000,0.500000
"Jika ingin hidup tak gentar
Perkuat iman dan keyakinan","Hutan lebat tempat burung berkicau
Menyanyikan lagu-lagu khas petangnya",19,1542,Pantun agama,"Burung elang terbang melingkar
Mengawasi lembah dan hutan
Jika ingin hidup tak gentar
Perkuat iman dan keyakinan","Burung elang terbang melingkar
Mengawasi lembah dan hutan",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,11,12,9,10,0,2,0.250000,0.125000
"Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani",38,3270,Pantun kiasan dan peribahasa,"Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi
Ilmu tanpa akhlak percuma
Bagaikan raga tanpa rohani","Ke pasar membeli kain sutra
Tak lupa bunga kenanga wangi",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,1,1.0,1.0,9,10,9,10,0,1,0.000000,0.500000
"Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Hutan lebat tempat burung berkicau
Dengan sari manis, kaya akan rahmat",3,3264,Pantun nasihat dan budi pekerti,"Ke pasar membeli buah duku
Duku manis rasanya segar
Jika hidup ingin bermutu
Jujur dan amanah harus dipagar","Ke pasar membeli buah duku
Duku manis rasanya segar",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,11,12,9,11,0,2,0.250000,0.125000
"bermain layanglayang bersama teman
lupa waktu hampir petang","Tanaman kopi berbuah melimpah
Lupa waktu hampir petang",96,4036,Pantun anak-anak,"menanam bunga membuat taman
akan indah laksana bintang
bermain layanglayang bersama teman
lupa waktu hampir petang","menanam bunga membuat taman
akan indah laksana bintang",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.5,11,8,12,8,0,1,0.000000,0.000000
"Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Tetap menjaga amanah
Kita akan mendapatkan kebahagiaan",74,1729,Pantun kebangsaan,"Burung serindit menyisir awan
Hinggap sebentar di dahan sena
Jika amanah dijunjung tuan
Teguhlah bangsa tidak ternoda","Burung serindit menyisir awan
Hinggap sebentar di dahan sena",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,0.748293,0.142857,8,14,10,10,2,1,0.000000,0.000000
"Jika ingin hidup mulia
Jujur selalu dalam hati","Hutan lebat tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai",11,1343,Pantun nasihat dan budi pekerti,"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati","Bunga kenanga harum baunya
Disimpan rapi di dalam peti",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,0.674969,0.142857,12,15,9,9,3,1,0.000000,0.000000
"Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sejak kecil di bumi biru
Hidup dengan ikhlaslah menyayangi",54,6148,Pantun persahabatan,"Sirih kuning dalam tempayan
Air jernih penuh isinya
Jika hidup mahu berteman
Ikhlaskan hati dalam segalanya","Sirih kuning dalam tempayan
Air jernih penuh isinya",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.142857,9,11,9,11,0,1,0.000000,0.000000
"kakiku empat tak punya badan
coba tebak siapakah aku","Langit cerah dan matahari bersinar
Coba tebak siapakah aku",93,1014,Pantun teka-teki,"berpindah tempat ke kota medan
jangan lupa membawa baju
kakiku empat tak punya badan
coba tebak siapakah aku","berpindah tempat ke kota medan
jangan lupa membawa baju",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.375,12,10,10,10,0,1,0.000000,0.000000
"Jika ingin hidup berkah
Hormati ayah dan ibu","Menghormati ayah dan ibu
Jika ingin kehidupan selamat",60,1710,Pantun bakti keluarga,"Burung pipit terbang rendah
Hinggap manis di atas batu
Jika ingin hidup berkah
Hormati ayah dan ibu","Burung pipit terbang rendah
Hinggap manis di atas batu",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.571429,9,11,8,8,0,1,0.000000,0.000000
"Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih",48,1170,Pantun cinta dan kasih,"Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih
Biar bertahun dilambung ombak
Tidak ku lupa pada yang kasih","Buah kuini jatuh tercampak
Jatuh menimpa bunga selasih",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,1,1.0,1.0,10,10,10,10,0,1,0.000000,0.500000
"Kalau ingin hidup bahagia
Jaga hati dari dengki","Menjaga hati dari dengki
Hidup bahagia tanpa bermegah",65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.571429,9,11,10,8,0,1,0.000000,0.000000
"Rindu padamu kian berputar
Kasih terikat janji sejati","Rindu padamu kian berputar
Kasih terikat janji sejati",46,3362,Pantun cinta dan kasih,"Ke taman bunga membeli mawar
Harumnya semerbak menawan hati
Rindu padamu kian berputar
Kasih terikat janji sejati","Ke taman bunga membeli mawar
Harumnya semerbak menawan hati",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,1,1.0,1.0,10,10,10,10,0,1,0.000000,0.500000
"cobalah terka pantunku ini
akar di atas pucuk di bawah","Pohon kelapa tumbuh subur dan kuat
Akar di atas pucuk di bawah",91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.571429,12,10,10,10,0,1,0.000000,0.000000
"Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Hutan rimba tempat hewan bergembira
Mengalami kebahagiaan hidup yang damai",7,5357,Pantun nasihat dan budi pekerti,"Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah
Jika hidup ingin penuh budi
Rendah hati jauhi angkuh dan marah","Pergi ke taman memetik kenari
Kenari jatuh ke atas tanah",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,0.674969,0.1,12,15,10,12,3,1,0.000000,0.000000
"Ilmu dan iman berjalan bersama
Hidup pun terasa penuh dan utuh","Di tengah sawah tinggi di taman
Hidup harmonis dan bahagia selalu",25,5518,Pantun pendidikan,"Pohon beringin tumbuh di desa
Daunnya rindang tempat berteduh
Ilmu dan iman berjalan bersama
Hidup pun terasa penuh dan utuh","Pohon beringin tumbuh di desa
Daunnya rindang tempat berteduh",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,0.852344,0.125,10,13,11,11,1,1,0.000000,0.000000
"Tutur santun wajah yang manis
Menenangkan hati mengikat kawan","Teman tersayang yang manis
Terus menghibur dan melayani",55,2138,Pantun persahabatan,"Embun pagi jatuh setitis
Menyapa bunga di tepi jalan
Tutur santun wajah yang manis
Menenangkan hati mengikat kawan","Embun pagi jatuh setitis
Menyapa bunga di tepi jalan",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.125,8,10,9,11,0,1,0.000000,0.000000
"Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Hati terkenang mulut menyebut
Rindu kini tiada penghujung",41,6406,Pantun cinta dan kasih,"Tenang-tenang air di laut
Sampan kolek mudik ke tanjung
Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Tenang-tenang air di laut
Sampan kolek mudik ke tanjung",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,1,1.0,1.0,10,10,10,10,0,1,0.000000,0.500000
"bermain kejarkejaran
badan sehat hati pun senang","Tanaman sawah berwarna hijau
Badan sehat hati pun senang",99,4583,Pantun anak-anak,"pagi ini membaca koran
baca berita orang hilang
bermain kejarkejaran
badan sehat hati pun senang","pagi ini membaca koran
baca berita orang hilang",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.666667,10,9,8,9,0,1,0.000000,0.000000
"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Di tengah kebun tinggi di taman
Bunga mawar tumbuh bersemi-sembunyi",10,3176,Pantun nasihat dan budi pekerti,"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Ke kebun bunga memetik mawar
Mawar merah harum baunya",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.0,10,12,11,11,0,2,0.250000,0.125000
"jika nanti kita berpisah
jangan pernah lupakan aku","Bunga melati tumbuh di bumi
Jangan pernah lupakan aku",83,1397,Pantun perpisahan dan perantauan,"bunga melati di tepi sawah
cantik elok di dekat batu
jika nanti kita berpisah
jangan pernah lupakan aku","bunga melati di tepi sawah
cantik elok di dekat batu",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,0,1.0,0.5,10,9,9,9,0,1,0.000000,0.000000
"Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu",33,4327,Pantun adat dan budaya,"Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu
Jika adat sentiasa dijunjung
Hilang sengketa hidup bersatu","Ombak beralun di Kuala Tanjung
Perahu nelayan pulang ke hulu",Llama 3.1: 8B,few_shot,Hasil Few-shot,2,2,1,1.0,1.0,11,10,11,10,0,1,0.000000,0.500000
"Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Hidup yang memiliki harapan
Membuat jalan menuju kebahagiaan terbuka",22,4434,Pantun pendidikan,"Pagi cerah memetik mawar
Harumnya sampai ke halaman
Ilmu dicari dengan sabar
Supaya hidup penuh harapan","Pagi cerah memetik mawar
Harumnya sampai ke halaman",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,0.586887,0.285714,10,17,9,10,5,1,0.000000,0.000000
"matanya satu kakinya tajam
cobalah tebak benda apa","matanya satu kakinya tajam
cobalah tebak benda apa",94,3938,Pantun teka-teki,"mata mengantuk langsung terpejam
sudah tidur semua terlupa
matanya satu kakinya tajam
cobalah tebak benda apa","mata mengantuk langsung terpejam
sudah tidur semua terlupa",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,10,9,10,9,0,1,0.000000,0.500000
"setelah bermain bersihkan kamar
jangan sampai berantakan","setelah bermain bersihkan kamar
jangan sampai berantakan",97,6235,Pantun anak-anak,"sungguh indah bunga mawar
harum semerbak di tepi taman
setelah bermain bersihkan kamar
jangan sampai berantakan","sungguh indah bunga mawar
harum semerbak di tepi taman",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,11,8,11,8,0,1,0.000000,0.500000
"Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Budi utama membuat perbuatan
Puji-puji dari orang yang lain",12,315,Pantun nasihat dan budi pekerti,"Anak dara menampi padi
Angin bertiup perlahan-lahan
Jika ingin hidup terpuji
Utamakan budi dalam pergaulan","Anak dara menampi padi
Angin bertiup perlahan-lahan",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.142857,12,11,9,11,0,1,0.000000,0.000000
"Jika ingin hidup mulia
Jujur selalu dalam hati","Hati jujur membawa berkah
Membuat rupa diri mulia",11,1343,Pantun nasihat dan budi pekerti,"Bunga kenanga harum baunya
Disimpan rapi di dalam peti
Jika ingin hidup mulia
Jujur selalu dalam hati","Bunga kenanga harum baunya
Disimpan rapi di dalam peti",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.428571,9,10,9,9,0,1,0.000000,0.000000
"Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Jika kamu ingin dihargai dan dihormati oleh orang lain
Selalulah bersikap rendah hati dan hormat kepada mereka",50,1442,Pantun persahabatan,"Bunga tanjung di halaman
Harumnya semerbak kala senja
Jika ingin dihormati teman
Bersikap rendah hati sentiasa","Bunga tanjung di halaman
Harumnya semerbak kala senja",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,0.501849,0.75,20,20,10,11,16,1,0.000000,0.000000
"Hidup tenang jauh dari cemas
Jika ikhlas dalam segala upaya","Hidup tenang jauh dari cemas
Jika ikhlas dalam segala upaya",68,3263,Pantun kehidupan dan renungan,"Ke pasar membeli beras
Tak lupa membeli kelapa
Hidup tenang jauh dari cemas
Jika ikhlas dalam segala upaya","Ke pasar membeli beras
Tak lupa membeli kelapa",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,10,12,10,12,0,1,0.000000,0.500000
"Jika ingin hidup bahagia
Bersikap jujur dan sabar","Hati sabar membuat selalu
Bahagia bersama yang lain",4,4515,Pantun nasihat dan budi pekerti,"Pagi hari memetik mangga
Burung kecil hinggap di pagar
Jika ingin hidup bahagia
Bersikap jujur dan sabar","Pagi hari memetik mangga
Burung kecil hinggap di pagar",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.285714,10,10,10,8,0,1,0.000000,0.000000
"cobalah terka pantunku ini
akar di atas pucuk di bawah","cobalah terka pantunku ini
akar di atas pucuk di bawah",91,4536,Pantun teka-teki,"pagi hari menanak nasi
nasi bekal orang di sawah
cobalah terka pantunku ini
akar di atas pucuk di bawah","pagi hari menanak nasi
nasi bekal orang di sawah",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,10,10,10,10,0,1,0.000000,0.500000
"Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Nikmat yang didapat membuat
Segar hati dengan kaya raya",10,3176,Pantun nasihat dan budi pekerti,"Ke kebun bunga memetik mawar
Mawar merah harum baunya
Jika ingin hidup terasa segar
Syukuri nikmat sepanjang usia","Ke kebun bunga memetik mawar
Mawar merah harum baunya",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.222222,9,10,11,11,0,1,0.000000,0.000000
"Jika ingin hidup dikenang
Budi baik jadi pusaka","Budi baik membuat terkenal
Hidup tak pernah dilupakan",2,185,Pantun nasihat dan budi pekerti,"Air telaga ditimba petang
Disimpan dalam kendi tua
Jika ingin hidup dikenang
Budi baik jadi pusaka","Air telaga ditimba petang
Disimpan dalam kendi tua",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.428571,10,9,9,9,0,1,0.000000,0.000000
"tak kenal maka tak sayang
marilah kita berkenalan","Kenali satu sama lain untuk mencintai
Agar hidup dipenuhi dengan kasih sayang",35,2330,Pantun kiasan dan peribahasa,"hendak berlayar hari dah petang
tepikan biduk kucutkan sampan
tak kenal maka tak sayang
marilah kita berkenalan","hendak berlayar hari dah petang
tepikan biduk kucutkan sampan",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,0.623298,0.166667,14,14,8,9,4,1,0.000000,0.000000
"Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Rasa rindu terus mengingatkan kenangan manis
Tidak ada akhirnya, karena cinta selalu abadi",41,6406,Pantun cinta dan kasih,"Tenang-tenang air di laut
Sampan kolek mudik ke tanjung
Hati terkenang mulut menyebut
Rindu kini tiada penghujung","Tenang-tenang air di laut
Sampan kolek mudik ke tanjung",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,0.521426,0.125,15,18,10,10,9,1,0.000000,0.000000
"Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang",62,2305,Pantun bakti keluarga,"Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang
Kasih dan cinta tersemat di jiwa
Erat ukhuwah keluarga gemilang","Harum kemboja mewangi di Jawa
Tumbuh segar di pohon tualang",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,11,12,11,12,0,1,0.000000,0.500000
"Jika hati penuh setia
Persahabatan kekal terjalin","Hati penuh setia
Persahabatan kekal terjalin",53,1337,Pantun persahabatan,"Bunga kenanga disemat dara
Harumnya lembut dibawa angin
Jika hati penuh setia
Persahabatan kekal terjalin","Bunga kenanga disemat dara
Harumnya lembut dibawa angin",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,0.852344,0.857143,7,10,9,10,1,1,0.000000,0.426172
"Jika iman sentiasa bersih
Damailah hidup sepanjang masa","Iman yang jujur membuat hati
Bersih dan selalu dalam ketaatan",14,2129,Pantun agama,"Embun pagi berkilau jernih
Menyentuh pucuk padi di huma
Jika iman sentiasa bersih
Damailah hidup sepanjang masa","Embun pagi berkilau jernih
Menyentuh pucuk padi di huma",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.25,10,12,10,10,0,1,0.000000,0.000000
"jikalau hendak hidup bahagia
beramal ibadah sebelum mati","Bergembira hati dalam beribadah
Membuat hidup penuh bahagia",16,6428,Pantun agama,"terang bulan terang bercahaya
cahaya memancar ke tanjung jati
jikalau hendak hidup bahagia
beramal ibadah sebelum mati","terang bulan terang bercahaya
cahaya memancar ke tanjung jati",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,1.0,0.25,12,11,11,11,0,1,0.000000,0.000000
"dusta itu bagaikan riak
membuat hati gundah gulana","Kegiatan berbohong seperti ombak yang membentur
Membuat hati seseorang menjadi bingung dan gundah",39,5861,Pantun kiasan dan peribahasa,"sampan perahu mengejar kayak
dari hulu tak kenakena
dusta itu bagaikan riak
membuat hati gundah gulana","sampan perahu mengejar kayak
dari hulu tak kenakena",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,0,0.521426,0.428571,16,17,9,10,9,1,0.000000,0.000000
"Kalau ingin hidup bahagia
Jaga hati dari dengki","Kalau ingin hidup bahagia
Jaga hati dari dengki",65,1473,Pantun kehidupan dan renungan,"Burung bangau di tepi rawa
Mencari ikan sejak pagi
Kalau ingin hidup bahagia
Jaga hati dari dengki","Burung bangau di tepi rawa
Mencari ikan sejak pagi",Llama 3.1: 8B,zero_shot,Hasil Zero-shot,2,2,1,1.0,1.0,10,8,10,8,0,1,0.000000,0.500000
