no,id_data_asli,model,setting,bertscore_p,bertscore_r,bertscore_f1
79,1697,Chat-GPT,few_shot,0.6310223340988159,0.6353589296340942,0.6331831812858582
79,1697,Gemini,zero_shot,0.6961772441864014,0.7006391286849976,0.6984010338783264
79,1697,Gemini,few_shot,0.748885989189148,0.7464818954467773,0.7476819753646851
79,1697,Claude,zero_shot,0.6885694265365601,0.6970691084861755,0.6927931904792786
79,1697,Claude,few_shot,0.7710076570510864,0.7603436708450317,0.7656385898590088
79,1697,Llama 3.1: 8B,zero_shot,0.6742610335350037,0.6642470359802246,0.669216513633728
79,1697,Llama 3.1: 8B,few_shot,0.6638449430465698,0.658134937286377,0.6609776020050049
79,1697,Sailor2,zero_shot,0.6520261764526367,0.6372990608215332,0.6445785164833069
79,1697,Sailor2,few_shot,0.7141005992889404,0.7323811054229736,0.7231253385543823
79,1697,DeepSeek-R1,zero_shot,0.6827770471572876,0.6844711899757385,0.6836230158805847
79,1697,DeepSeek-R1,few_shot,0.6958068013191223,0.6927160620689392,0.6942579746246338
80,2181,Chat-GPT,zero_shot,0.6860159635543823,0.6737973093986511,0.679851770401001
80,2181,Chat-GPT,few_shot,0.6688122153282166,0.6580480337142944,0.6633864641189575
80,2181,Gemini,zero_shot,0.6723843216896057,0.6541450023651123,0.663139283657074
80,2181,Gemini,few_shot,0.6850119233131409,0.679887056350708,0.6824398636817932
80,2181,Claude,zero_shot,0.6649404168128967,0.6527165770530701,0.658771812915802
80,2181,Claude,few_shot,0.6846462488174438,0.6785552501678467,0.6815871596336365
80,2181,Llama 3.1: 8B,zero_shot,0.6619241237640381,0.6438969373703003,0.6527860760688782
80,2181,Llama 3.1: 8B,few_shot,0.670746922492981,0.6699066162109375,0.6703265309333801
80,2181,Sailor2,zero_shot,0.6264161467552185,0.6280961632728577,0.6272550225257874
80,2181,Sailor2,few_shot,0.6319383978843689,0.6308261156082153,0.6313818097114563
80,2181,DeepSeek-R1,zero_shot,0.6152796745300293,0.6287486553192139,0.6219412088394165
80,2181,DeepSeek-R1,few_shot,0.6348564624786377,0.6244008541107178,0.6295852661132812
81,950,Chat-GPT,zero_shot,0.6840813159942627,0.688808798789978,0.6864369511604309
81,950,Chat-GPT,few_shot,0.6941181421279907,0.6840498447418213,0.6890472173690796
81,950,Gemini,zero_shot,0.677833616733551,0.6702401041984558,0.674015462398529
81,950,Gemini,few_shot,0.7236484289169312,0.7032029628753662,0.7132792472839355
81,950,Claude,zero_shot,0.6986021995544434,0.6842344999313354,0.6913437247276306
81,950,Claude,few_shot,0.7082233428955078,0.6986581683158875,0.7034081816673279
81,950,Llama 3.1: 8B,zero_shot,0.7341569662094116,0.7232722043991089,0.7286739349365234
81,950,Llama 3.1: 8B,few_shot,0.6790468692779541,0.6659210324287415,0.6724199056625366
81,950,Sailor2,zero_shot,0.6682118773460388,0.6511516571044922,0.6595714092254639
81,950,Sailor2,few_shot,0.6819872856140137,0.6681318283081055,0.6749884486198425
81,950,DeepSeek-R1,zero_shot,0.6919839382171631,0.6931458711624146,0.6925644278526306
81,950,DeepSeek-R1,few_shot,0.6709767580032349,0.6866701245307922,0.678732693195343
82,3981,Chat-GPT,zero_shot,0.709234356880188,0.7096102237701416,0.70942223072052
82,3981,Chat-GPT,few_shot,0.6978700160980225,0.6938643455505371,0.6958613991737366
82,3981,Gemini,zero_shot,0.6653284430503845,0.6518679261207581,0.6585294008255005
82,3981,Gemini,few_shot,0.7016341686248779,0.6998711228370667,0.700751543045044
82,3981,Claude,zero_shot,0.6872326135635376,0.6873674392700195,0.6873000264167786
82,3981,Claude,few_shot,0.7033155560493469,0.6967966556549072,0.7000409364700317
82,3981,Llama 3.1: 8B,zero_shot,0.6834242939949036,0.6709727048873901,0.6771411895751953
82,3981,Llama 3.1: 8B,few_shot,0.6950677037239075,0.6983927488327026,0.6967262029647827
82,3981,Sailor2,zero_shot,0.6871073246002197,0.6890062689781189,0.6880554556846619
82,3981,Sailor2,few_shot,0.6816888451576233,0.66985023021698,0.6757176518440247
82,3981,DeepSeek-R1,zero_shot,0.7184580564498901,0.7290451526641846,0.7237129211425781
82,3981,DeepSeek-R1,few_shot,0.6400597095489502,0.6587967276573181,0.649293065071106
83,1397,Chat-GPT,zero_shot,0.6834297180175781,0.6927930116653442,0.6880795359611511
83,1397,Chat-GPT,few_shot,0.7087925672531128,0.7144417762756348,0.7116060256958008
83,1397,Gemini,zero_shot,0.6838624477386475,0.6758303642272949,0.6798226833343506
83,1397,Gemini,few_shot,0.7261626720428467,0.7215626835823059,0.7238554358482361
83,1397,Claude,zero_shot,0.6652510166168213,0.6751272678375244,0.6701527833938599
83,1397,Claude,few_shot,0.7906380891799927,0.8143346309661865,0.8023114204406738
83,1397,Llama 3.1: 8B,zero_shot,0.6558526158332825,0.6598211526870728,0.6578308939933777
83,1397,Llama 3.1: 8B,few_shot,0.7056776881217957,0.6889086961746216,0.697192370891571
83,1397,Sailor2,zero_shot,0.6585474014282227,0.661846935749054,0.6601930856704712
83,1397,Sailor2,few_shot,0.6663720607757568,0.6726880073547363,0.6695151329040527
83,1397,DeepSeek-R1,zero_shot,0.6537924408912659,0.6622512340545654,0.6579946875572205
83,1397,DeepSeek-R1,few_shot,0.6836671233177185,0.6983755230903625,0.6909430623054504
84,4791,Chat-GPT,zero_shot,0.7045682072639465,0.7051557302474976,0.7048618197441101
84,4791,Chat-GPT,few_shot,0.6826595067977905,0.6855787038803101,0.684116005897522
84,4791,Gemini,zero_shot,0.6917613744735718,0.6856998205184937,0.688717246055603
84,4791,Gemini,few_shot,0.6920367479324341,0.6799941062927246,0.6859625577926636
84,4791,Claude,zero_shot,0.6937706470489502,0.693526566028595,0.6936485767364502
84,4791,Claude,few_shot,0.7000114917755127,0.7160176634788513,0.7079240679740906
84,4791,Llama 3.1: 8B,zero_shot,0.7149211168289185,0.69633948802948,0.7055079936981201
84,4791,Llama 3.1: 8B,few_shot,0.6494439244270325,0.6540729999542236,0.6517502665519714
84,4791,Sailor2,zero_shot,0.6834299564361572,0.6827945709228516,0.6831120848655701
84,4791,Sailor2,few_shot,0.6735010147094727,0.686539888381958,0.679957926273346
84,4791,DeepSeek-R1,zero_shot,0.6979732513427734,0.6810206174850464,0.6893927454948425
84,4791,DeepSeek-R1,few_shot,0.686238169670105,0.7028306722640991,0.6944352984428406
85,6374,Chat-GPT,zero_shot,0.6940051913261414,0.6769883632659912,0.6853911280632019
85,6374,Chat-GPT,few_shot,0.6620427370071411,0.6721408367156982,0.6670535802841187
85,6374,Gemini,zero_shot,0.723360538482666,0.7036564350128174,0.7133724689483643
85,6374,Gemini,few_shot,0.7443248629570007,0.7280175089836121,0.7360809445381165
85,6374,Claude,zero_shot,0.6816086173057556,0.6757356524467468,0.6786594390869141
85,6374,Claude,few_shot,0.7192994952201843,0.7016724348068237,0.7103766798973083
85,6374,Llama 3.1: 8B,zero_shot,0.6975888013839722,0.696332573890686,0.6969600915908813
85,6374,Llama 3.1: 8B,few_shot,0.6591541767120361,0.6621949076652527,0.6606709957122803
85,6374,Sailor2,zero_shot,0.6990859508514404,0.6815351247787476,0.6901990175247192
85,6374,Sailor2,few_shot,0.6964275240898132,0.6837875843048096,0.6900496482849121
85,6374,DeepSeek-R1,zero_shot,0.6647130250930786,0.6666669845581055,0.6656885743141174
85,6374,DeepSeek-R1,few_shot,0.6847063302993774,0.6912163496017456,0.6879459619522095
86,1326,Chat-GPT,zero_shot,0.6658619046211243,0.6641894578933716,0.6650245785713196
86,1326,Chat-GPT,few_shot,0.6846848130226135,0.6975934505462646,0.6910788416862488
86,1326,Gemini,zero_shot,0.6639978885650635,0.6628788709640503,0.6634379029273987
86,1326,Gemini,few_shot,0.7103862762451172,0.7085449695587158,0.7094643712043762
86,1326,Claude,zero_shot,0.6804291605949402,0.6830118298530579,0.6817180514335632
86,1326,Claude,few_shot,0.6949135065078735,0.7108815908432007,0.702806830406189
86,1326,Llama 3.1: 8B,zero_shot,0.6591200828552246,0.6622815728187561,0.6606970429420471
86,1326,Llama 3.1: 8B,few_shot,0.7059342265129089,0.7211661338806152,0.7134688496589661
86,1326,Sailor2,zero_shot,0.662388026714325,0.6540324091911316,0.6581836938858032
86,1326,Sailor2,few_shot,0.6621778011322021,0.6612837910652161,0.6617305278778076
86,1326,DeepSeek-R1,zero_shot,0.6497374773025513,0.6588098406791687,0.654242217540741
86,1326,DeepSeek-R1,few_shot,0.6408344507217407,0.6575062870979309,0.6490632891654968
87,1718,Chat-GPT,zero_shot,0.6885987520217896,0.696753740310669,0.6926522254943848
87,1718,Chat-GPT,few_shot,0.7048330307006836,0.7100282311439514,0.707421064376831
87,1718,Gemini,zero_shot,0.6948743462562561,0.7009158134460449,0.6978820562362671
87,1718,Gemini,few_shot,0.7262191772460938,0.7252954244613647,0.7257570028305054
87,1718,Claude,zero_shot,0.6770739555358887,0.6864328384399414,0.6817212700843811
87,1718,Claude,few_shot,0.6965682506561279,0.7065521478652954,0.7015246748924255
87,1718,Llama 3.1: 8B,zero_shot,0.7145631313323975,0.7286968231201172,0.7215607166290283
87,1718,Llama 3.1: 8B,few_shot,0.713056206703186,0.722601592540741,0.7177972197532654
87,1718,Sailor2,zero_shot,0.6987162828445435,0.6974321603775024,0.6980736255645752
87,1718,Sailor2,few_shot,0.6798127293586731,0.6906745433807373,0.6852006316184998
87,1718,DeepSeek-R1,zero_shot,0.6920956969261169,0.6990674734115601,0.6955641508102417
87,1718,DeepSeek-R1,few_shot,0.6988369226455688,0.7204817533493042,0.7094942927360535
88,5682,Chat-GPT,zero_shot,0.6791125535964966,0.6756369471549988,0.6773703694343567
88,5682,Chat-GPT,few_shot,0.6742366552352905,0.6901246905326843,0.6820881962776184
88,5682,Gemini,zero_shot,0.6996612548828125,0.6858141422271729,0.6926684975624084
88,5682,Gemini,few_shot,0.6967213153839111,0.6856228113174438,0.6911274790763855
88,5682,Claude,zero_shot,0.66121506690979,0.6477927565574646,0.6544350981712341
88,5682,Claude,few_shot,0.6792948842048645,0.6876963973045349,0.683469831943512
88,5682,Llama 3.1: 8B,zero_shot,0.7106164693832397,0.7089873552322388,0.7098009586334229
88,5682,Llama 3.1: 8B,few_shot,0.6887907981872559,0.6899346709251404,0.6893622279167175
88,5682,Sailor2,zero_shot,0.6406555771827698,0.6246377229690552,0.6325452327728271
88,5682,Sailor2,few_shot,0.6715117692947388,0.6716281175613403,0.6715699434280396
88,5682,DeepSeek-R1,zero_shot,0.6998564004898071,0.684072732925415,0.6918745636940002
88,5682,DeepSeek-R1,few_shot,0.6703301668167114,0.6690136194229126,0.6696712374687195
89,4028,Chat-GPT,zero_shot,0.6919541358947754,0.6738664507865906,0.6827905178070068
89,4028,Chat-GPT,few_shot,0.6977479457855225,0.6813865900039673,0.6894702315330505
89,4028,Gemini,zero_shot,0.7201766967773438,0.6901307106018066,0.7048336267471313
89,4028,Gemini,few_shot,0.7255173921585083,0.6963532567024231,0.7106362581253052
89,4028,Claude,zero_shot,0.7248019576072693,0.7329721450805664,0.7288641333580017
89,4028,Claude,few_shot,0.6660213470458984,0.7023158073425293,0.6836872100830078
89,4028,Llama 3.1: 8B,zero_shot,0.6973962187767029,0.6953991651535034,0.6963962912559509
89,4028,Llama 3.1: 8B,few_shot,0.6982049942016602,0.6924958229064941,0.6953386664390564
89,4028,Sailor2,zero_shot,0.6524567604064941,0.6707216501235962,0.6614631414413452
89,4028,Sailor2,few_shot,0.6725341081619263,0.6774616241455078,0.674988865852356
89,4028,DeepSeek-R1,zero_shot,0.7077474594116211,0.7168439626693726,0.7122666835784912
89,4028,DeepSeek-R1,few_shot,0.7032589912414551,0.6913132667541504,0.6972349286079407
90,55,Chat-GPT,zero_shot,0.6039855480194092,0.6136977672576904,0.6088029742240906
90,55,Chat-GPT,few_shot,0.6993705630302429,0.708338737487793,0.7038260102272034
90,55,Gemini,zero_shot,0.6676596403121948,0.6644381284713745,0.6660450100898743
90,55,Gemini,few_shot,0.6857897043228149,0.6782786250114441,0.6820135116577148
90,55,Claude,zero_shot,0.6997110843658447,0.7220560312271118,0.71070796251297
90,55,Claude,few_shot,0.7049028873443604,0.7121042013168335,0.7084853053092957
90,55,Llama 3.1: 8B,zero_shot,0.6934590339660645,0.7040996551513672,0.6987388134002686
90,55,Llama 3.1: 8B,few_shot,0.661475658416748,0.6742881536483765,0.6678204536437988
90,55,Sailor2,zero_shot,0.6613895893096924,0.6688702702522278,0.6651089191436768
90,55,Sailor2,few_shot,0.6829274892807007,0.6713694334030151,0.6770991086959839
90,55,DeepSeek-R1,zero_shot,0.6618130803108215,0.676256537437439,0.6689568161964417
90,55,DeepSeek-R1,few_shot,0.6743946075439453,0.6842435002326965,0.6792833805084229
91,4536,Chat-GPT,zero_shot,0.7091628909111023,0.7026870250701904,0.7059100866317749
91,4536,Chat-GPT,few_shot,0.7073689699172974,0.6897652745246887,0.6984561681747437
91,4536,Gemini,zero_shot,0.7233507633209229,0.6870879530906677,0.7047531604766846
91,4536,Gemini,few_shot,0.7317697405815125,0.7291703820228577,0.7304677367210388
91,4536,Claude,zero_shot,0.6555953025817871,0.665324330329895,0.660423994064331
91,4536,Claude,few_shot,0.6905552744865417,0.7074180841445923,0.6988850235939026
91,4536,Llama 3.1: 8B,zero_shot,0.6684954166412354,0.67520672082901,0.6718343496322632
91,4536,Llama 3.1: 8B,few_shot,0.6615951061248779,0.6667036414146423,0.6641395092010498
91,4536,Sailor2,zero_shot,0.6452954411506653,0.6356596946716309,0.640441358089447
91,4536,Sailor2,few_shot,0.6261507272720337,0.6163360476493835,0.621204674243927
91,4536,DeepSeek-R1,zero_shot,0.6462997198104858,0.6446505784988403,0.6454740762710571
91,4536,DeepSeek-R1,few_shot,0.6816089749336243,0.6968441009521484,0.6891424059867859
92,1001,Chat-GPT,zero_shot,0.6748257875442505,0.6776797771453857,0.6762498021125793
92,1001,Chat-GPT,few_shot,0.6837204694747925,0.6796469688415527,0.6816776394844055
92,1001,Gemini,zero_shot,0.6972272992134094,0.7195080518722534,0.7081924080848694
92,1001,Gemini,few_shot,0.7364400625228882,0.7444665431976318,0.740431547164917
92,1001,Claude,zero_shot,0.6725009083747864,0.6713466048240662,0.6719232201576233
92,1001,Claude,few_shot,0.7138189077377319,0.7152603268623352,0.7145388722419739
92,1001,Llama 3.1: 8B,zero_shot,0.6985498666763306,0.6957693696022034,0.6971567869186401
92,1001,Llama 3.1: 8B,few_shot,0.6606792211532593,0.6614611148834229,0.661069929599762
92,1001,Sailor2,zero_shot,0.6804225444793701,0.6694613695144653,0.6748974323272705
92,1001,Sailor2,few_shot,0.6587952375411987,0.6640633344650269,0.6614187955856323
92,1001,DeepSeek-R1,zero_shot,0.635015070438385,0.6333199739456177,0.6341663599014282
92,1001,DeepSeek-R1,few_shot,0.6557320356369019,0.6679117679595947,0.6617658734321594
93,1014,Chat-GPT,zero_shot,0.6215318441390991,0.6516823768615723,0.6362500786781311
93,1014,Chat-GPT,few_shot,0.6751682162284851,0.7136670351028442,0.693884015083313
93,1014,Gemini,zero_shot,0.7217787504196167,0.7398004531860352,0.7306784987449646
93,1014,Gemini,few_shot,0.6981030702590942,0.7020445466041565,0.7000682353973389
93,1014,Claude,zero_shot,0.6765688061714172,0.6956661939620972,0.6859846115112305
93,1014,Claude,few_shot,0.7187386751174927,0.7243844270706177,0.7215505242347717
93,1014,Llama 3.1: 8B,zero_shot,0.647505521774292,0.679645836353302,0.6631865501403809
93,1014,Llama 3.1: 8B,few_shot,0.6259266138076782,0.6583757400512695,0.6417412161827087
93,1014,Sailor2,zero_shot,0.6526100635528564,0.6735923290252686,0.662935197353363
93,1014,Sailor2,few_shot,0.6709165573120117,0.6817117929458618,0.6762711405754089
93,1014,DeepSeek-R1,zero_shot,0.6266291737556458,0.6533174514770508,0.6396951079368591
93,1014,DeepSeek-R1,few_shot,0.6827167272567749,0.6827276945114136,0.6827222108840942
94,3938,Chat-GPT,zero_shot,0.6970675587654114,0.6823402643203735,0.6896252632141113
94,3938,Chat-GPT,few_shot,0.6652131676673889,0.6552929878234863,0.6602157950401306
94,3938,Gemini,zero_shot,0.6295509338378906,0.6146776676177979,0.6220254302024841
94,3938,Gemini,few_shot,0.679597795009613,0.6778835654258728,0.678739607334137
94,3938,Claude,zero_shot,0.6795740127563477,0.6702157258987427,0.6748624444007874
94,3938,Claude,few_shot,0.647041380405426,0.6421025991439819,0.6445625424385071
94,3938,Llama 3.1: 8B,zero_shot,0.7123392820358276,0.7019246816635132,0.7070936560630798
94,3938,Llama 3.1: 8B,few_shot,0.6644614338874817,0.6481485366821289,0.6562036275863647
94,3938,Sailor2,zero_shot,0.6504237055778503,0.6318495869636536,0.6410021185874939
94,3938,Sailor2,few_shot,0.6434080600738525,0.6304489374160767,0.636862576007843
94,3938,DeepSeek-R1,zero_shot,0.660195529460907,0.6705837845802307,0.6653491258621216
94,3938,DeepSeek-R1,few_shot,0.6641349196434021,0.6595502495765686,0.6618346571922302
95,6446,Chat-GPT,zero_shot,0.7040156722068787,0.670626163482666,0.686915397644043
95,6446,Chat-GPT,few_shot,0.672924280166626,0.6384035348892212,0.6552095413208008
95,6446,Gemini,zero_shot,0.6744308471679688,0.6469687223434448,0.6604143977165222
95,6446,Gemini,few_shot,0.686870813369751,0.6526917219161987,0.6693452596664429
95,6446,Claude,zero_shot,0.6690963506698608,0.6595525145530701,0.664290189743042
95,6446,Claude,few_shot,0.6838289499282837,0.6575207114219666,0.6704168319702148
95,6446,Llama 3.1: 8B,zero_shot,0.6962523460388184,0.6635611057281494,0.6795137524604797
95,6446,Llama 3.1: 8B,few_shot,0.7123113870620728,0.6656479239463806,0.6881895661354065
95,6446,Sailor2,zero_shot,0.6811802387237549,0.6496126651763916,0.6650220155715942
95,6446,Sailor2,few_shot,0.6307764053344727,0.6005381941795349,0.6152859330177307
95,6446,DeepSeek-R1,zero_shot,0.6862965226173401,0.65509033203125,0.6703304648399353
95,6446,DeepSeek-R1,few_shot,0.6569265723228455,0.6325176954269409,0.6444911360740662
96,4036,Chat-GPT,zero_shot,0.6856110095977783,0.6847010850906372,0.6851557493209839
96,4036,Chat-GPT,few_shot,0.6717784404754639,0.6874158382415771,0.6795071959495544
96,4036,Gemini,zero_shot,0.6800218224525452,0.6677238345146179,0.6738167405128479
96,4036,Gemini,few_shot,0.6947874426841736,0.7020506858825684,0.6984001398086548
96,4036,Claude,zero_shot,0.6636786460876465,0.6760190725326538,0.6697919964790344
96,4036,Claude,few_shot,0.6584126949310303,0.6753401756286621,0.6667690277099609
96,4036,Llama 3.1: 8B,zero_shot,0.6933183670043945,0.6997466087341309,0.6965176463127136
96,4036,Llama 3.1: 8B,few_shot,0.69948410987854,0.7016476392745972,0.7005642056465149
96,4036,Sailor2,zero_shot,0.6418824195861816,0.6616659164428711,0.6516240835189819
96,4036,Sailor2,few_shot,0.6282815933227539,0.6667195558547974,0.6469300985336304
96,4036,DeepSeek-R1,zero_shot,0.625780463218689,0.6572467088699341,0.6411277055740356
96,4036,DeepSeek-R1,few_shot,0.6532677412033081,0.6895896196365356,0.6709374785423279
97,6235,Chat-GPT,zero_shot,0.6943764686584473,0.687853991985321,0.6910998225212097
97,6235,Chat-GPT,few_shot,0.7249475121498108,0.7051223516464233,0.7148975133895874
97,6235,Gemini,zero_shot,0.6769146919250488,0.650939404964447,0.663672924041748
97,6235,Gemini,few_shot,0.6797202825546265,0.6576322317123413,0.6684938669204712
97,6235,Claude,zero_shot,0.6896439790725708,0.6834479570388794,0.6865319609642029
97,6235,Claude,few_shot,0.6811493039131165,0.6757886409759521,0.6784583926200867
97,6235,Llama 3.1: 8B,zero_shot,0.7087787389755249,0.6979320049285889,0.7033135294914246
97,6235,Llama 3.1: 8B,few_shot,0.6874435544013977,0.6741678714752197,0.680741012096405
97,6235,Sailor2,zero_shot,0.6465972661972046,0.6349053382873535,0.6406979560852051
97,6235,Sailor2,few_shot,0.6740227341651917,0.6644517779350281,0.6692030429840088
97,6235,DeepSeek-R1,zero_shot,0.6630266308784485,0.6551752090454102,0.6590775847434998
97,6235,DeepSeek-R1,few_shot,0.6795687675476074,0.6871774792671204,0.683351993560791
98,3679,Chat-GPT,zero_shot,0.6366533041000366,0.6546689867973328,0.6455354690551758
98,3679,Chat-GPT,few_shot,0.7129122614860535,0.7191390991210938,0.7160121202468872
98,3679,Gemini,zero_shot,0.6682880520820618,0.6634294986724854,0.6658499240875244
98,3679,Gemini,few_shot,0.6619284749031067,0.6785433292388916,0.6701329946517944
98,3679,Claude,zero_shot,0.6498717665672302,0.6760737299919128,0.6627138257026672
98,3679,Claude,few_shot,0.6639366745948792,0.6795331239700317,0.6716443300247192
98,3679,Llama 3.1: 8B,zero_shot,0.6772515177726746,0.7061745524406433,0.6914106607437134
98,3679,Llama 3.1: 8B,few_shot,0.6799329519271851,0.6951555609703064,0.6874600052833557
98,3679,Sailor2,zero_shot,0.63761305809021,0.6611307263374329,0.6491590142250061
98,3679,Sailor2,few_shot,0.6529746651649475,0.6673187017440796,0.6600687503814697
98,3679,DeepSeek-R1,zero_shot,0.6514289975166321,0.6928539276123047,0.6715032458305359
98,3679,DeepSeek-R1,few_shot,0.6548705697059631,0.6873929500579834,0.6707378029823303
99,4583,Chat-GPT,zero_shot,0.6095178127288818,0.6444203853607178,0.6264833211898804
99,4583,Chat-GPT,few_shot,0.6561205387115479,0.6753112077713013,0.6655775904655457
99,4583,Gemini,zero_shot,0.666143000125885,0.680572509765625,0.6732804775238037
99,4583,Gemini,few_shot,0.6626103520393372,0.6840651631355286,0.673166811466217
99,4583,Claude,zero_shot,0.6795328855514526,0.6914398670196533,0.6854346394538879
99,4583,Claude,few_shot,0.6699112057685852,0.6913061141967773,0.6804405450820923
99,4583,Llama 3.1: 8B,zero_shot,0.6605713367462158,0.6875284910202026,0.6737803816795349
99,4583,Llama 3.1: 8B,few_shot,0.6819181442260742,0.6818227767944336,0.6818704605102539
99,4583,Sailor2,zero_shot,0.645516037940979,0.6365396976470947,0.6409963965415955
99,4583,Sailor2,few_shot,0.6348739862442017,0.6510082483291626,0.6428399085998535
99,4583,DeepSeek-R1,zero_shot,0.6456583738327026,0.6875590682029724,0.6659502983093262
99,4583,DeepSeek-R1,few_shot,0.6546502113342285,0.6788241267204285,0.6665180325508118
100,1986,Chat-GPT,zero_shot,0.6635569334030151,0.6415401697158813,0.6523628234863281
100,1986,Chat-GPT,few_shot,0.6636927723884583,0.643771767616272,0.6535804867744446
100,1986,Gemini,zero_shot,0.6900221705436707,0.6701290607452393,0.6799301505088806
100,1986,Gemini,few_shot,0.6807084083557129,0.67813640832901,0.679419994354248
100,1986,Claude,zero_shot,0.6704235672950745,0.6637423634529114,0.667066216468811
100,1986,Claude,few_shot,0.6771787405014038,0.6731569170951843,0.6751618981361389
100,1986,Llama 3.1: 8B,zero_shot,0.6591603755950928,0.638039231300354,0.6484278440475464
100,1986,Llama 3.1: 8B,few_shot,0.6901593208312988,0.689916729927063,0.6900379657745361
100,1986,Sailor2,zero_shot,0.6706621050834656,0.6599870920181274,0.6652817726135254
100,1986,Sailor2,few_shot,0.6184605360031128,0.6075963973999023,0.612980306148529
100,1986,DeepSeek-R1,zero_shot,0.6114611625671387,0.6047980189323425,0.6081113219261169
100,1986,DeepSeek-R1,few_shot,0.6645019054412842,0.6671753525733948,0.665835976600647
